path,exists,ext,status,page_count,error,text_chars,text_path
/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,True,.docx,ok,,,10144,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/1bd40d845040_试卷.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx,True,.pptx,ok,,,1360,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/0eef31593a11_19_4_.pptx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,True,.pdf,ok,10,,8281,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/0fca4fc46247_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,True,.docx,ok,,,2591,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/5bf6b7387198_细则.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,True,.pdf,ok,9,,9945,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/944b03f9c3be_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,True,.docx,ok,,,3585,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/7301f6d3c6e2_细则.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,True,.pdf,empty_text_needs_visual,11,,0,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/0e98e571e5b0_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,True,.docx,ok,,,4512,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/ebbe85a1ee6f_细则.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,True,.pdf,ok,13,,14288,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/fd08ca4014c0_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,True,.pdf,ok,8,,2215,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/14176e949dd0_细则.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,True,.pdf,empty_text_needs_visual,8,,0,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/184e191a3ddd_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,True,.doc,ok,,,3029,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/2b459ae738e8_细则.doc.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,True,.pdf,ok,10,,10135,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/b46dba82c3ff_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,True,.docx,ok,,,4991,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/f6e59c8eee71_细则.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,True,.pdf,ok,8,,8827,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/e34a259c7765_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,True,.pptx,ok,,,4760,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/8d2be8df9cad_细则.pptx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,True,.pdf,ok,12,,9756,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/1da70413b2d1_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/细则/2026丰台区二模主观题阅卷细则(1).pptx,True,.pptx,ok,,,14708,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/b1957e7e0935_2026丰台区二模主观题阅卷细则_1_.pptx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,True,.pdf,ok,13,,16820,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/14707229fbcf_2026北京丰台高三二模政治_教师版_.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/细则/26房山评标.docx,True,.docx,ok,,,4085,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/22c80834d2b2_26房山评标.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/试卷/2026北京房山高三二模政治（教师版）.pdf,True,.pdf,ok,12,,3716,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/bfb8f196e778_2026北京房山高三二模政治_教师版_.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,True,.pdf,ok,108,,11122,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/c5e4363802a9_26海淀高三政治二模讲评.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,True,.docx,ok,,,10384,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/829ff10080e5_2026北京海淀高三二模政治_教师版_.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc,True,.doc,ok,,,2878,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/af7cc47eabc8_石景山区高三政治第二次模拟考试答案评分细则_1_.doc.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,True,.docx,ok,,,9088,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/ee19d27f246f_2026北京石景山高三二模政治_教师版_.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,True,.pdf,empty_text_needs_visual,14,,0,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/ccb1c3656835_西城二模评标.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,True,.docx,ok,,,8197,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/c5ed8aa7efc4_2026北京西城高三二模政治_教师版_.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,True,.doc,ok,,,6517,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/57615a84450c_26顺义二模评标.doc.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,True,.pdf,empty_text_needs_visual,12,,0,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/d421a3c0899e_26顺义二模_1_.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,True,.docx,ok,,,4749,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/763b7470b96b_细则.docx.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,True,.pdf,ok,8,,8301,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/cdafdcaa0136_试卷.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,True,.pdf,ok,6,,1681,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/93d2077755f7_细则.pdf.txt
/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,True,.pdf,ok,10,,1813,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/51b7508a0497_试卷.pdf.txt
/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025房山一模/2025各区一模__2025房山一模__细则__细则.pdf.txt,True,.txt,ok,,,3873,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/00e6568e481f_2025各区一模__2025房山一模__细则__细则.pdf.txt.txt
/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025房山一模/2025各区一模__2025房山一模__试卷__试卷.pdf.txt,True,.txt,ok,,,16016,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/e6d9bf52014b_2025各区一模__2025房山一模__试卷__试卷.pdf.txt.txt
